# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1.5 catalog.
# pears_id threed_south_idv415 pears_ra pears_dec threed_ra threed_dec
111611 38571 53.060228 -27.730750 53.060219 -27.730747
117607 40619 53.060238 -27.720315 53.060238 -27.720308
110424 37800 53.060280 -27.734833 53.060284 -27.734835
116917 40535 53.060308 -27.721171 53.060303 -27.721169
116177 40360 53.060322 -27.722239 53.060322 -27.722244
131864 47178 53.060417 -27.689489 53.060402 -27.689495
109945 37402 53.060447 -27.736515 53.060455 -27.736519
133426 47879 53.060468 -27.686873 53.060452 -27.686871
127896 45293 53.060550 -27.698529 53.060551 -27.698505
131421 46943 53.060552 -27.691069 53.060551 -27.691076
120568 41885 53.060640 -27.714643 53.060631 -27.714655
116840 40400 53.060683 -27.721512 53.060699 -27.721502
132092 47203 53.060736 -27.689527 53.060753 -27.689522
129458 46041 53.060786 -27.695443 53.060787 -27.695414
130804 46709 53.060797 -27.691266 53.060799 -27.691298
119951 41688 53.061001 -27.715602 53.060993 -27.715597
129651 46066 53.061039 -27.693508 53.061039 -27.693501
132104 47382 53.061049 -27.688081 53.061066 -27.688116
116350 40300 53.061081 -27.722174 53.061081 -27.722170
122710 43123 53.061168 -27.709314 53.061165 -27.709326
113678 39406 53.061175 -27.726963 53.061176 -27.726969
127697 45509 53.061398 -27.698136 53.061390 -27.698135
119722 41509 53.061403 -27.716188 53.061409 -27.716192
114115 39302 53.061446 -27.726742 53.061447 -27.726749
129074 45857 53.061498 -27.696272 53.061493 -27.696274
106985 36111 53.061598 -27.742533 53.061592 -27.742531
110851 37939 53.061622 -27.734030 53.061623 -27.734028
117714 40651 53.061645 -27.720024 53.061665 -27.720016
121011 42139 53.061648 -27.713558 53.061646 -27.713570
122108 42497 53.061674 -27.711682 53.061672 -27.711683
130950 46764 53.061730 -27.691398 53.061729 -27.691393
125760 44239 53.061743 -27.703338 53.061745 -27.703337
127226 45128 53.061782 -27.699201 53.061787 -27.699198
130039 46359 53.061803 -27.693361 53.061783 -27.693361
124101 43683 53.061980 -27.706471 53.061974 -27.706482
116370 40421 53.062026 -27.722028 53.062023 -27.722010
110801 38124 53.062030 -27.732863 53.062035 -27.732872
118956 41189 53.062035 -27.717622 53.062023 -27.717649
113364 39051 53.062084 -27.728086 53.062092 -27.728086
126640 44820 53.062256 -27.701107 53.062275 -27.701124
122810 43114 53.062412 -27.706909 53.062405 -27.706915
128023 45230 53.062443 -27.698747 53.062443 -27.698750
110080 37653 53.062457 -27.735480 53.062454 -27.735519
120268 41670 53.062542 -27.715324 53.062542 -27.715330
116369 40162 53.062579 -27.722683 53.062565 -27.722687
126020 44208 53.062598 -27.702503 53.062599 -27.702511
113229 38904 53.062629 -27.728645 53.062614 -27.728659
131268 46939 53.062794 -27.691085 53.062786 -27.691084
113845 39364 53.062820 -27.726457 53.062820 -27.726461
128577 45683 53.062822 -27.697050 53.062817 -27.697042
116217 40465 53.062855 -27.721926 53.062851 -27.721960
126306 44529 53.062944 -27.702447 53.062939 -27.702438
127986 45397 53.062978 -27.698455 53.063004 -27.698454
131381 46965 53.062996 -27.691067 53.062996 -27.691059
129179 45995 53.063002 -27.695513 53.063030 -27.695515
133176 47760 53.063045 -27.687203 53.063038 -27.687195
119179 41369 53.063097 -27.716909 53.063080 -27.716919
118438 41095 53.063209 -27.718290 53.063213 -27.718283
127133 45188 53.063244 -27.699620 53.063255 -27.699636
131112 46793 53.063287 -27.691869 53.063278 -27.691858
106502 35915 53.063339 -27.744561 53.063339 -27.744558
126236 44450 53.063358 -27.702812 53.063374 -27.702822
